price,year,condition,odometer,car_age
39950,2020.0,4,2600.0,1.0
7500,2013.0,2,159001.0,8.0
2500,2002.0,4,300402.0,19.0
2900,2007.0,4,176067.0,14.0
46990,2020.0,2,13935.0,1.0
48990,2019.0,2,21412.0,2.0
14990,2017.0,2,96577.0,4.0
13990,2014.0,2,91537.0,7.0
12450,2012.0,3,119549.0,9.0
8450,2007.0,2,185598.0,14.0
35990,2020.0,2,28338.0,1.0
41990,2020.0,2,12880.0,1.0
49500,2018.0,3,52000.0,3.0
24590,2017.0,2,31936.0,4.0
23590,2009.0,2,34818.0,12.0
14890,2015.0,4,70350.0,6.0
13890,2013.0,3,179592.0,8.0
15890,2015.0,4,181006.0,6.0
28900,2016.0,4,136589.0,5.0
19890,2017.0,4,139449.0,4.0
9980,2014.0,3,124725.0,7.0
11950,2012.0,4,210916.0,9.0
10950,2004.0,4,76046.0,17.0
8450,2014.0,3,177554.0,7.0
8890,2011.0,3,181759.0,10.0
12590,2015.0,3,99391.0,6.0
15890,2016.0,3,152745.0,5.0
14890,2015.0,3,167675.0,6.0
14890,2012.0,3,146979.0,9.0
39590,2020.0,2,728.0,1.0
14980,2016.0,3,185193.0,5.0
14590,2016.0,4,125929.0,5.0
8950,2008.0,3,159294.0,13.0
8950,2014.0,3,121984.0,7.0
5950,2004.0,3,209166.0,17.0
4950,1997.0,3,114268.0,24.0
8950,2009.0,4,140589.0,12.0
14950,2016.0,3,118000.0,5.0
8000,2005.0,3,119000.0,16.0
4000,2005.0,1,215290.0,16.0
11480,2017.0,3,65955.0,4.0
23480,2014.0,3,163665.0,7.0
10880,2017.0,3,68004.0,4.0
8490,2011.0,2,155142.0,10.0
15950,2013.0,3,159796.0,8.0
11950,2014.0,3,141834.0,7.0
23995,2013.0,2,139863.0,8.0
36995,2015.0,2,97917.0,6.0
16995,2018.0,2,53427.0,3.0
35995,2017.0,2,69815.0,4.0
20995,2011.0,3,79015.0,10.0
16995,2011.0,3,100929.0,10.0
8995,2010.0,3,107678.0,11.0
7950,2008.0,3,84162.0,13.0
14888,2005.0,3,147040.0,16.0
25777,2017.0,4,71525.0,4.0
19565,2018.0,4,15545.0,3.0
12777,2013.0,4,92414.0,8.0
13677,2014.0,4,105393.0,7.0
13454,2012.0,3,27326.0,9.0
12788,2010.0,4,139260.0,11.0
15988,2013.0,3,138733.0,8.0
25677,2017.0,4,110112.0,4.0
3000,1998.0,2,119000.0,23.0
8000,2002.0,3,119000.0,19.0
10999,2013.0,3,68110.0,8.0
10500,2013.0,3,131661.0,8.0
29995,2016.0,2,135005.0,5.0
8995,2012.0,2,102191.0,9.0
19995,2011.0,2,103554.0,10.0
22495,2013.0,3,52686.0,8.0
31995,2017.0,3,32715.0,4.0
13995,2014.0,3,40994.0,7.0
10995,2016.0,3,82631.0,5.0
18995,2012.0,3,75125.0,9.0
17995,2019.0,2,41828.0,2.0
28995,2017.0,2,71160.0,4.0
27995,2013.0,2,104253.0,8.0
22995,2010.0,2,157471.0,11.0
8988,2001.0,2,189000.0,20.0
6988,2005.0,2,236000.0,16.0
4488,2000.0,2,220000.0,21.0
800,2006.0,1,1234.0,15.0
8950,2013.0,2,123904.0,8.0
9950,2011.0,2,136341.0,10.0
9950,2013.0,2,90562.0,8.0
13950,2013.0,2,212134.0,8.0
8950,2015.0,3,100274.0,6.0
11950,2013.0,3,85798.0,8.0
8950,2015.0,2,170231.0,6.0
8950,2009.0,2,134730.0,12.0
11950,2009.0,2,179935.0,12.0
7950,2006.0,2,216486.0,15.0
9950,2007.0,3,97687.0,14.0
8950,2013.0,2,128760.0,8.0
37590,2020.0,2,1937.0,1.0
29990,2019.0,2,6727.0,2.0
7950,2010.0,2,229707.0,11.0
11950,2012.0,2,134049.0,9.0
12950,2011.0,3,108527.0,10.0
29900,2017.0,3,72849.0,4.0
29990,2018.0,2,11401.0,3.0
29990,2016.0,2,24661.0,5.0
37990,2016.0,2,22870.0,5.0
33990,2018.0,2,24299.0,3.0
35990,2015.0,2,4899.0,6.0
4999,2002.0,2,152212.0,19.0
35000,1966.0,3,100000.0,55.0
42590,2017.0,2,62776.0,4.0
14500,2013.0,2,110850.0,8.0
33590,2015.0,2,23623.0,6.0
24590,2019.0,2,15557.0,2.0
32990,2015.0,2,11531.0,6.0
36590,2017.0,2,14020.0,4.0
7950,2008.0,2,201920.0,13.0
3950,2006.0,2,272641.0,15.0
5950,2012.0,2,182705.0,9.0
62990,2020.0,2,12145.0,1.0
11950,2010.0,2,252140.0,11.0
58995,2018.0,3,10626.0,3.0
27990,2020.0,2,31050.0,1.0
28990,2018.0,2,34507.0,3.0
104900,2020.0,3,9000.0,1.0
3500,2005.0,2,140600.0,16.0
31990,2017.0,2,31496.0,4.0
29990,2016.0,2,44339.0,5.0
4500,2006.0,2,186394.0,15.0
48000,2002.0,3,131054.0,19.0
13950,2007.0,3,193121.0,14.0
11950,2001.0,3,128168.0,20.0
13400,2012.0,3,76888.0,9.0
14950,2011.0,3,55963.0,10.0
9950,2011.0,3,141988.0,10.0
18950,2015.0,3,87883.0,6.0
11950,2014.0,3,123723.0,7.0
16500,2018.0,3,38566.0,3.0
37500,2017.0,3,41133.0,4.0
11950,2012.0,3,82282.0,9.0
13950,2011.0,3,48967.0,10.0
7950,2008.0,3,165717.0,13.0
19950,2017.0,3,49775.0,4.0
12950,2015.0,3,97475.0,6.0
17950,2014.0,4,25865.0,7.0
8950,2011.0,3,116879.0,10.0
11800,2006.0,3,92123.0,15.0
29995,2017.0,3,64538.0,4.0
44995,2019.0,3,17059.0,2.0
9995,2011.0,3,53129.0,10.0
43995,2020.0,3,1514.0,1.0
59995,2018.0,3,31959.0,3.0
45995,2017.0,3,32349.0,4.0
18995,2014.0,3,93409.0,7.0
8300,2013.0,2,67500.0,8.0
30000,1997.0,2,68740.0,24.0
34995,2015.0,3,86051.0,6.0
24995,2015.0,3,31818.0,6.0
26995,2020.0,3,6837.0,1.0
15495,2016.0,3,52399.0,5.0
29995,2014.0,3,87841.0,7.0
34995,2016.0,3,74182.0,5.0
33995,2018.0,3,29491.0,3.0
98995,2017.0,3,38562.0,4.0
17995,2012.0,3,110953.0,9.0
23995,2018.0,3,27060.0,3.0
19995,2019.0,3,7952.0,2.0
13995,2017.0,3,71747.0,4.0
30995,2017.0,3,59904.0,4.0
18750,2013.0,3,48053.0,8.0
27995,2017.0,3,31002.0,4.0
26995,2014.0,3,49479.0,7.0
17995,2015.0,3,65938.0,6.0
26995,2017.0,3,68945.0,4.0
33750,2017.0,3,20593.0,4.0
19995,2014.0,3,54162.0,7.0
16995,2017.0,3,32152.0,4.0
19995,2018.0,3,42524.0,3.0
